from,to,distance
13,254,0.872
258,102,1.322
99,150,1.222
254,258,0.233
150,14,1.22
102,100,0.239
103,99,0.256
198,192,0.255
197,221,0.283
221,346,1.85
345,17,1.031
346,345,0.218
16,198,3.208
149,16,0.557
17,347,0.751
137,149,1.369
347,136,1.171
107,137,1.095
136,110,1.108
110,117,0.255
113,107,0.17
117,118,0.782
117,119,0.782
124,113,1.493
118,125,0.795
119,125,0.795
4,124,1.195
320,124,1.195
125,128,1.275
125,129,1.275
155,4,1.749
155,320,1.749
70,4,1.749
70,320,1.749
128,184,2.373
128,185,2.373
129,184,2.373
129,185,2.373
223,155,2.439
223,70,2.439
71,155,2.439
71,70,2.439
184,174,1.687
184,341,1.687
185,174,1.687
185,341,1.687
220,223,0.221
220,71,0.221
72,223,0.221
72,71,0.221
174,171,0.294
174,342,0.294
341,171,0.294
341,342,0.294
204,220,2.939
204,72,2.939
74,220,2.939
74,72,2.939
171,211,2.861
171,63,2.861
342,211,2.861
342,63,2.861
211,208,0.259
211,64,0.259
63,208,0.259
63,64,0.259
201,204,0.249
201,74,0.249
75,204,0.249
75,74,0.249
2,201,3.248
2,75,3.248
77,201,3.248
77,75,3.248
3,2,0.313
3,77,0.313
78,2,0.313
78,77,0.313
208,242,5.476
208,243,5.476
64,242,5.476
64,243,5.476
5,3,2.467
5,78,2.467
242,190,0.571
243,190,0.571
6,5,0.205
190,229,0.569
227,6,0.483
228,6,0.483
196,227,1.93
196,228,1.93
237,227,1.93
237,228,1.93
229,234,2.358
229,235,2.358
200,196,0.212
200,237,0.212
232,196,0.212
232,237,0.212
281,200,1.467
281,232,1.467
282,200,1.467
282,232,1.467
234,277,1.399
234,278,1.399
235,277,1.399
235,278,1.399
277,284,0.32
277,287,0.32
278,284,0.32
278,287,0.32
266,281,0.707
266,282,0.707
267,281,0.707
267,282,0.707
284,265,0.302
284,268,0.302
287,265,0.302
287,268,0.302
271,266,0.448
271,267,0.448
272,266,0.448
272,267,0.448
145,263,1.742
263,9,5.762
340,339,0.226
339,161,2.283
161,271,3.717
161,272,3.717
265,9,6.794
268,9,6.794
161,146,4.577
146,178,5.767
178,182,0.314
183,181,0.229
182,323,3.665
324,183,3.762
337,336,0.315
334,335,0.286
336,19,1.305
18,334,1.4
21,18,1.606
22,18,1.606
19,354,2.891
19,283,2.891
19,29,2.891
19,30,2.891
354,274,0.788
354,275,0.788
354,31,0.788
283,274,0.788
283,275,0.788
283,31,0.788
29,274,0.788
29,275,0.788
29,31,0.788
30,274,0.788
30,275,0.788
30,31,0.788
274,350,0.739
274,28,0.739
275,350,0.739
275,28,0.739
31,350,0.739
31,28,0.739
270,21,2.841
270,22,2.841
32,21,2.841
32,22,2.841
350,351,0.26
350,24,0.26
28,351,0.26
28,24,0.26
351,352,0.498
351,27,0.498
24,352,0.498
24,27,0.498
73,270,1.044
73,32,1.044
76,270,1.044
76,32,1.044
352,91,0.893
352,94,0.893
27,91,0.893
27,94,0.893
91,82,0.334
91,85,0.334
94,82,0.334
94,85,0.334
256,73,1.78
256,76,1.78
257,73,1.78
257,76,1.78
65,73,1.78
65,76,1.78
82,33,0.864
85,33,0.864
33,273,1.022
33,40,1.022
187,256,1.153
187,257,1.153
187,65,1.153
188,256,1.153
188,257,1.153
188,65,1.153
269,187,0.136
269,188,0.136
34,187,0.136
34,188,0.136
163,168,0.295
163,90,0.295
89,168,0.295
89,90,0.295
193,169,0.338
193,87,0.338
88,169,0.338
88,87,0.338
7,8,0.341
7,84,0.341
83,8,0.341
83,84,0.341
1,0,0.336
1,93,0.336
92,0,0.336
92,93,0.336
160,111,0.295
160,120,0.295
111,159,0.6
120,159,0.6
159,151,0.337
159,180,0.337
104,126,1.495
121,104,2.016
130,127,3.645
127,127,0.0
318,325,0.922
158,157,1.771
331,156,2.068
8,193,3.082
8,88,3.082
84,193,3.082
84,88,3.082
168,1,3.383
168,92,3.383
90,1,3.383
90,92,3.383
209,7,3.753
209,83,3.753
210,7,3.753
210,83,3.753
0,357,3.375
0,95,3.375
93,357,3.375
93,95,3.375
162,209,1.341
162,210,1.341
165,209,1.341
165,210,1.341
357,164,1.329
357,166,1.329
95,164,1.329
95,166,1.329
338,162,0.496
338,165,0.496
164,344,0.486
164,96,0.486
166,344,0.486
166,96,0.486
344,343,0.231
344,97,0.231
96,343,0.231
96,97,0.231
343,333,7.58
97,333,7.58
333,332,0.257
139,135,0.181
139,80,0.181
81,135,0.181
81,80,0.181
135,338,5.195
80,338,5.195
10,139,3.862
10,81,3.862
332,330,2.027
330,167,2.308
167,328,0.478
167,260,0.478
264,10,3.695
328,327,0.152
328,261,0.152
260,327,0.152
260,261,0.152
279,264,0.181
280,264,0.181
327,148,1.047
261,148,1.047
86,279,1.008
86,280,1.008
148,79,0.035
203,326,0.202
157,11,0.887
12,331,0.883
11,349,0.861
262,12,0.859
349,294,4.522
295,262,4.511
294,296,0.263
296,297,1.412
297,303,0.47
226,295,2.155
303,305,2.119
186,226,2.122
305,306,1.036
230,186,1.042
306,312,1.964
249,230,1.971
311,313,0.551
313,321,0.38
248,195,0.675
321,231,1.363
322,248,1.744
231,329,1.318
325,322,1.25
329,197,3.579
192,318,3.004
329,103,4.115
100,319,3.155
100,197,4.099
100,43,6.996
39,15,1.552
15,197,5.162
15,319,4.28
15,103,5.875
39,177,10.194
173,170,0.164
177,189,0.835
20,173,0.925
170,140,1.932
140,134,0.63
353,222,0.233
224,317,0.416
142,353,0.232
316,142,0.151
317,315,0.606
